timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1554336802,801,801.0,801.0,801.0,14.02,13.16,24.00,38.24,50.30,51.61,0.00,730,730.0,730.0,730.0,13.93,13.39,22.51,35.32,52.56,53.74,0.00000
1554336803,1963,1162.0,1162.0,1162.0,9.37,7.70,18.56,55.64,64.95,66.39,0.17,2010,1280.0,1280.0,1280.0,9.62,7.73,19.25,55.80,65.57,65.86,0.16664
1554336804,4819,2856.0,2856.0,2856.0,3.99,2.70,8.36,36.18,76.61,83.36,0.34,5051,3041.0,3041.0,3041.0,4.35,2.88,8.65,40.86,80.94,83.95,0.33714
1554336805,7540,2721.0,2721.0,2721.0,4.21,2.45,8.46,53.41,65.34,68.29,0.25,7707,2656.0,2656.0,2656.0,4.65,2.72,8.62,56.43,68.62,70.39,0.24807
1554336806,10819,3279.0,3279.0,3279.0,3.36,2.41,7.43,11.97,60.03,65.31,0.21,11130,3423.0,3423.0,3423.0,3.61,2.65,7.67,12.03,61.44,65.44,0.20796
1554336807,13846,3027.0,3027.0,3027.0,3.71,2.33,8.04,44.56,60.82,63.93,0.17,14334,3204.0,3204.0,3204.0,4.13,2.54,8.36,51.31,63.21,68.62,0.17253
1554336808,17144,3298.0,3298.0,3298.0,3.50,2.05,7.68,48.27,61.64,65.44,0.15,17697,3363.0,3363.0,3363.0,3.67,2.26,7.88,44.79,62.62,65.18,0.14881
1554336809,20658,3514.0,3514.0,3514.0,3.21,1.88,7.30,43.58,54.69,58.49,0.13,21256,3559.0,3559.0,3559.0,3.54,2.16,7.72,45.78,55.64,58.23,0.13186
1554336810,24191,3533.0,3533.0,3533.0,3.31,1.81,7.95,48.40,57.84,58.49,0.12,24647,3391.0,3391.0,3391.0,3.56,2.02,8.50,46.83,57.84,59.11,0.11757
1554336811,27508,3317.0,3317.0,3317.0,3.26,1.72,8.28,46.33,63.34,69.40,0.11,28281,3634.0,3634.0,3634.0,3.37,2.04,8.45,16.79,63.86,67.50,0.10619
1554336812,31135,3627.0,3627.0,3627.0,3.00,1.79,6.99,17.69,65.80,72.09,0.10,32048,3767.0,3767.0,3767.0,3.52,1.97,7.86,49.15,66.81,70.65,0.09779
1554336813,35335,4200.0,4200.0,4200.0,2.81,1.58,7.01,14.40,73.01,81.26,0.09,35920,3872.0,3872.0,3872.0,3.30,1.84,7.39,50.10,80.41,81.85,0.09261
1554336814,39447,4112.0,4112.0,4112.0,2.65,1.34,6.65,35.09,70.91,99.94,0.09,40097,4177.0,4177.0,4177.0,3.10,1.63,7.50,50.63,68.55,101.19,0.08858
1554336815,43430,3983.0,3983.0,3983.0,2.90,1.35,7.06,51.77,64.95,75.17,0.08,44197,4100.0,4100.0,4100.0,3.02,1.54,6.94,51.15,74.32,81.13,0.08341
1554336816,47077,3647.0,3647.0,3647.0,3.18,1.22,6.75,54.66,129.11,130.94,0.08,47532,3335.0,3335.0,3335.0,3.69,1.50,7.46,57.25,128.65,141.16,0.07789
1554336817,51325,4248.0,4248.0,4248.0,2.68,1.34,6.62,45.94,65.96,111.54,0.07,51727,4195.0,4195.0,4195.0,2.97,1.54,7.09,48.04,66.29,72.16,0.07488
1554336818,55529,4204.0,4204.0,4204.0,2.68,1.37,6.55,46.76,64.98,89.65,0.07,55872,4145.0,4145.0,4145.0,2.81,1.51,6.92,46.73,64.75,87.03,0.07134
1554336819,60360,4831.0,4831.0,4831.0,2.55,1.29,6.06,30.44,62.13,64.26,0.07,60568,4696.0,4696.0,4696.0,2.67,1.45,6.32,23.79,60.49,68.68,0.06964
1554336820,64750,4390.0,4390.0,4390.0,2.70,1.38,6.22,47.15,65.34,69.01,0.07,64746,4178.0,4178.0,4178.0,2.87,1.63,6.37,45.12,65.86,69.01,0.06639
1554336821,68786,4036.0,4036.0,4036.0,2.91,1.38,6.99,50.23,62.19,65.50,0.06,68600,3854.0,3854.0,3854.0,3.16,1.57,7.61,50.69,61.60,65.77,0.06300
1554336822,73475,4689.0,4689.0,4689.0,2.52,1.43,6.04,20.73,68.09,73.33,0.06,72927,4327.0,4327.0,4327.0,2.79,1.54,6.32,45.81,69.73,87.23,0.06092
1554336823,77734,4259.0,4259.0,4259.0,2.77,1.42,6.86,42.07,69.27,83.23,0.06,77182,4255.0,4255.0,4255.0,2.83,1.62,6.94,28.88,67.90,80.15,0.05841
1554336824,82458,4724.0,4724.0,4724.0,2.53,1.41,6.42,21.61,61.57,75.89,0.06,81727,4545.0,4545.0,4545.0,2.63,1.60,6.57,15.07,60.06,67.08,0.05664
1554336825,86606,4148.0,4148.0,4148.0,2.59,1.37,6.23,44.96,58.79,69.60,0.05,85820,4093.0,4093.0,4093.0,3.04,1.54,6.71,53.41,60.78,63.24,0.05427
1554336826,91034,4428.0,4428.0,4428.0,2.50,1.37,5.91,36.37,63.14,65.40,0.05,90506,4686.0,4686.0,4686.0,2.88,1.61,6.41,39.91,65.18,65.77,0.05248
1554336827,95627,4593.0,4593.0,4593.0,2.45,1.36,5.85,35.45,58.56,83.56,0.05,95068,4562.0,4562.0,4562.0,2.65,1.55,6.12,26.00,60.85,76.81,0.05094
1554336828,99738,4111.0,4111.0,4111.0,2.80,1.38,6.00,46.92,58.95,65.24,0.05,99259,4191.0,4191.0,4191.0,3.07,1.56,6.98,48.69,59.74,62.88,0.04902
1554336829,104079,4341.0,4341.0,4341.0,2.61,1.39,5.89,41.78,74.25,78.84,0.05,103673,4414.0,4414.0,4414.0,2.83,1.57,6.41,39.32,73.40,78.45,0.04741
1554336830,107541,3462.0,3462.0,3462.0,3.16,1.42,8.00,43.02,97.78,98.70,0.05,107353,3680.0,3680.0,3680.0,3.45,1.59,8.87,45.45,96.67,97.39,0.04581
1554336831,111962,4421.0,4421.0,4421.0,2.72,1.29,7.33,38.04,71.76,74.58,0.04,111633,4280.0,4280.0,4280.0,2.83,1.46,7.34,36.34,70.71,76.35,0.04438
1554336832,116390,4428.0,4428.0,4428.0,2.53,1.39,6.55,14.92,76.74,82.31,0.04,116099,4466.0,4466.0,4466.0,2.85,1.50,7.11,41.06,74.45,79.23,0.04313
1554336833,120358,3968.0,3968.0,3968.0,2.73,1.27,6.79,39.98,79.30,85.59,0.04,120228,4129.0,4129.0,4129.0,3.16,1.45,7.50,46.92,81.53,82.97,0.04175
1554336834,123790,3432.0,3432.0,3432.0,3.38,1.24,7.04,60.03,138.67,140.77,0.04,123584,3356.0,3356.0,3356.0,3.65,1.47,8.03,60.13,136.18,146.28,0.04053
1554336835,128363,4573.0,4573.0,4573.0,2.54,1.35,6.70,30.20,61.15,64.65,0.04,127927,4343.0,4343.0,4343.0,2.68,1.56,6.60,31.00,63.44,64.75,0.03944
1554336836,132667,4304.0,4304.0,4304.0,2.88,1.34,6.33,50.46,111.80,113.51,0.04,131891,3964.0,3964.0,3964.0,3.05,1.52,6.63,47.97,107.41,113.38,0.03836
1554336837,136790,4123.0,4123.0,4123.0,2.86,1.29,7.18,41.81,93.06,96.93,0.04,135792,3901.0,3901.0,3901.0,3.01,1.49,7.88,38.90,92.73,96.60,0.03727
1554336838,141207,4417.0,4417.0,4417.0,2.80,1.29,6.50,49.74,66.98,70.58,0.04,139743,3951.0,3951.0,3951.0,3.02,1.49,7.39,46.56,66.36,69.86,0.03626
1554336839,145517,4310.0,4310.0,4310.0,2.60,1.40,5.86,42.11,60.19,124.32,0.04,144190,4447.0,4447.0,4447.0,2.85,1.60,6.39,44.92,63.73,72.22,0.03552
1554336840,150060,4543.0,4543.0,4543.0,2.50,1.37,5.87,39.49,72.74,75.83,0.03,148893,4703.0,4703.0,4703.0,2.65,1.57,6.25,22.36,67.57,75.63,0.03481
