timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1554491976,700,700.0,700.0,700.0,15.60,14.13,27.72,57.11,75.56,78.71,0.00,600,600.0,600.0,600.0,17.55,15.91,34.64,63.67,73.01,79.50,0.00000
1554491977,2090,1390.0,1390.0,1390.0,8.14,6.86,16.92,46.86,59.54,65.40,0.25,1962,1362.0,1362.0,1362.0,8.78,7.39,18.64,50.92,61.28,68.68,0.24978
1554491978,4844,2754.0,2754.0,2754.0,4.53,2.71,9.23,53.67,90.31,92.01,0.31,4527,2565.0,2565.0,2565.0,4.61,2.91,9.40,52.76,88.80,93.06,0.31250
1554491979,7912,3068.0,3068.0,3068.0,3.78,2.66,8.26,11.68,73.92,76.41,0.25,7487,2960.0,2960.0,2960.0,4.21,2.92,8.35,14.20,73.99,75.83,0.24966
1554491980,10673,2761.0,2761.0,2761.0,4.26,2.50,8.09,51.51,82.51,85.66,0.20,10175,2688.0,2688.0,2688.0,4.48,2.79,8.33,50.36,83.95,86.77,0.19695
1554491981,13899,3226.0,3226.0,3226.0,3.53,2.34,8.04,13.85,57.38,68.16,0.17,13264,3089.0,3089.0,3089.0,3.71,2.59,8.11,13.66,61.47,66.26,0.16669
1554491982,17300,3401.0,3401.0,3401.0,3.39,2.17,7.80,12.58,69.80,84.28,0.15,16689,3425.0,3425.0,3425.0,3.91,2.43,8.00,53.18,82.18,84.02,0.14747
1554491983,19812,2512.0,2512.0,2512.0,4.38,2.08,8.53,66.36,89.78,95.68,0.13,19352,2663.0,2663.0,2663.0,4.85,2.35,9.01,68.68,88.80,90.77,0.12806
1554491984,23449,3637.0,3637.0,3637.0,3.24,1.97,7.26,40.08,62.85,67.01,0.12,22935,3583.0,3583.0,3583.0,3.36,2.22,7.31,16.02,62.52,69.60,0.11746
1554491985,26878,3429.0,3429.0,3429.0,3.54,1.87,8.62,54.00,72.35,73.20,0.11,26047,3112.0,3112.0,3112.0,3.78,2.14,8.92,49.71,72.48,76.02,0.10584
