timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1558143209,1162,1162.0,1162.0,1162.0,5.19,3.01,13.14,63.96,120.52,124.13,0.00,1077,1077.0,1077.0,1077.0,6.15,3.27,15.78,85.33,117.18,121.63,0.00000
1558143210,2981,1819.0,1819.0,1819.0,3.71,1.35,7.82,84.61,135.40,138.02,0.20,3074,1997.0,1997.0,1997.0,3.60,1.52,9.37,48.40,138.28,165.15,0.19987
1558143211,5691,2710.0,2710.0,2710.0,2.36,1.19,5.32,32.15,149.42,166.85,0.21,5896,2822.0,2822.0,2822.0,2.65,1.38,6.25,30.85,152.17,155.58,0.20975
1558143212,8562,2871.0,2871.0,2871.0,2.10,1.16,4.52,33.69,56.39,60.69,0.16,9029,3133.0,3133.0,3133.0,2.51,1.39,6.71,33.85,55.97,58.26,0.16284
1558143213,11591,3029.0,3029.0,3029.0,1.80,1.05,4.38,13.52,60.52,69.40,0.14,12622,3593.0,3593.0,3593.0,2.35,1.28,5.75,32.92,61.67,69.27,0.13828
1558143214,14396,2805.0,2805.0,2805.0,2.19,0.99,4.96,36.63,123.93,128.32,0.12,15509,2887.0,2887.0,2887.0,2.53,1.22,5.94,38.11,120.39,128.19,0.11528
1558143215,17193,2797.0,2797.0,2797.0,2.36,1.01,4.79,54.17,105.78,109.18,0.10,18209,2700.0,2700.0,2700.0,2.87,1.22,7.56,57.21,98.11,116.59,0.09831
1558143216,20081,2888.0,2888.0,2888.0,2.26,1.09,4.81,35.39,85.07,91.10,0.09,20966,2757.0,2757.0,2757.0,2.61,1.26,5.73,37.55,88.41,92.73,0.08569
1558143217,23336,3255.0,3255.0,3255.0,2.07,1.00,5.27,31.15,71.70,78.38,0.08,24136,3170.0,3170.0,3170.0,2.32,1.20,6.56,30.31,70.45,73.27,0.07739
1558143218,26434,3098.0,3098.0,3098.0,1.99,0.95,4.87,32.49,59.80,78.97,0.07,27381,3245.0,3245.0,3245.0,2.36,1.16,6.25,31.69,77.99,80.87,0.07026
1558143219,29862,3428.0,3428.0,3428.0,1.94,0.92,4.81,35.68,55.84,61.15,0.06,30591,3210.0,3210.0,3210.0,2.26,1.13,6.28,34.80,47.12,56.79,0.06463
1558143220,33333,3471.0,3471.0,3471.0,1.97,0.91,5.36,31.67,58.10,64.82,0.06,33629,3038.0,3038.0,3038.0,2.34,1.14,7.16,35.13,55.21,64.13,0.05959
1558143221,36572,3239.0,3239.0,3239.0,2.13,0.96,5.05,36.83,74.19,77.33,0.06,36576,2947.0,2947.0,2947.0,2.37,1.16,5.45,34.77,75.69,79.17,0.05501
1558143222,40514,3942.0,3942.0,3942.0,1.61,0.92,4.25,11.18,48.07,53.48,0.05,40558,3982.0,3982.0,3982.0,1.88,1.11,5.12,14.17,50.66,52.10,0.05500
1558143223,43965,3451.0,3451.0,3451.0,1.88,0.94,4.47,22.58,67.96,73.99,0.05,44003,3445.0,3445.0,3445.0,2.17,1.10,5.46,31.08,69.66,75.76,0.05190
