timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1554936851,451,451.0,451.0,451.0,10.13,7.23,25.53,72.02,103.55,103.55,0.00,558,558.0,558.0,558.0,9.78,7.44,21.97,56.85,93.72,103.15,0.00000
1554936852,1573,1122.0,1122.0,1122.0,5.59,3.49,13.27,44.60,54.33,70.91,0.24,1550,992.0,992.0,992.0,5.78,3.72,14.83,52.36,59.64,61.73,0.23906
1554936853,3148,1575.0,1575.0,1575.0,3.62,2.09,8.28,42.76,63.64,69.07,0.23,3101,1551.0,1551.0,1551.0,4.00,2.61,8.59,40.14,56.75,68.81,0.23359
1554936854,4613,1465.0,1465.0,1465.0,3.73,2.01,9.24,48.69,59.38,89.98,0.19,4792,1691.0,1691.0,1691.0,3.84,2.16,8.91,48.27,59.34,63.70,0.18553
1554936855,6096,1483.0,1483.0,1483.0,4.18,2.09,8.48,58.79,104.92,109.25,0.15,6101,1309.0,1309.0,1309.0,4.38,2.14,8.43,63.50,98.89,101.91,0.14717
1554936856,7824,1728.0,1728.0,1728.0,3.37,1.98,7.15,46.50,107.35,112.85,0.13,7747,1646.0,1646.0,1646.0,3.71,2.22,7.20,52.63,107.15,108.72,0.12939
1554936857,9546,1722.0,1722.0,1722.0,3.57,1.96,6.91,55.41,67.04,69.01,0.11,9431,1684.0,1684.0,1684.0,3.43,2.20,6.81,41.52,65.01,67.96,0.11240
1554936858,11385,1839.0,1839.0,1839.0,3.07,1.97,6.75,44.50,57.67,60.88,0.10,11280,1849.0,1849.0,1849.0,3.40,2.17,7.14,46.07,60.85,67.31,0.10144
1554936859,12906,1521.0,1521.0,1521.0,3.50,1.76,7.93,56.98,68.94,85.79,0.09,12994,1714.0,1714.0,1714.0,3.86,2.18,8.45,55.35,73.33,74.25,0.08997
1554936860,14625,1719.0,1719.0,1719.0,3.23,1.81,7.26,47.51,66.22,78.38,0.08,14862,1868.0,1868.0,1868.0,3.42,1.91,7.89,44.17,81.40,83.95,0.08223
1554936861,16108,1483.0,1483.0,1483.0,4.31,1.68,11.94,64.78,106.43,109.31,0.07,16258,1396.0,1396.0,1396.0,3.98,1.91,9.84,58.69,106.17,119.41,0.07466
1554936862,17839,1731.0,1731.0,1731.0,3.21,1.77,8.15,43.78,70.32,70.91,0.07,17945,1687.0,1687.0,1687.0,3.79,1.98,9.37,59.51,70.58,71.11,0.06855
1554936863,19706,1867.0,1867.0,1867.0,2.86,1.82,6.58,31.56,55.87,67.90,0.06,19867,1922.0,1922.0,1922.0,3.42,2.08,7.98,44.70,62.95,66.91,0.06460
1554936864,21527,1821.0,1821.0,1821.0,2.88,1.80,7.18,24.07,57.38,64.39,0.06,21828,1961.0,1961.0,1961.0,3.43,1.97,7.63,44.43,62.16,65.86,0.06087
1554936865,23162,1635.0,1635.0,1635.0,3.40,1.89,6.62,51.25,67.50,75.30,0.06,23474,1646.0,1646.0,1646.0,3.86,2.07,7.57,55.38,67.83,80.08,0.05672
1554936866,24849,1687.0,1687.0,1687.0,3.08,1.70,7.02,45.32,59.51,72.55,0.05,25288,1814.0,1814.0,1814.0,3.63,1.92,9.17,53.38,72.61,77.53,0.05326
1554936867,26635,1786.0,1786.0,1786.0,3.28,1.67,7.46,52.53,68.68,73.33,0.05,26968,1680.0,1680.0,1680.0,3.73,2.00,7.99,55.48,65.04,76.74,0.05015
1554936868,28301,1666.0,1666.0,1666.0,3.56,1.67,7.93,51.25,67.17,74.38,0.05,28564,1596.0,1596.0,1596.0,3.77,1.83,7.88,57.74,63.18,67.83,0.04732
1554936869,29913,1612.0,1612.0,1612.0,3.60,1.68,7.40,61.67,105.58,108.53,0.04,30227,1663.0,1663.0,1663.0,3.70,2.02,7.32,56.43,106.89,114.16,0.04482
1554936870,31382,1469.0,1469.0,1469.0,3.67,1.69,8.83,57.38,177.08,184.94,0.04,31718,1491.0,1491.0,1491.0,4.41,1.99,7.50,68.68,183.76,186.12,0.04254
1554936871,32899,1517.0,1517.0,1517.0,3.44,1.57,8.44,58.36,100.47,107.87,0.04,33249,1531.0,1531.0,1531.0,4.38,2.03,9.91,65.73,101.84,104.46,0.04055
1554936872,34577,1678.0,1678.0,1678.0,2.97,1.73,8.21,35.59,67.96,78.45,0.04,34978,1729.0,1729.0,1729.0,4.03,1.84,9.60,58.82,77.66,84.61,0.03872
