Running [WRITE, READ] with 10 threads 60 minutes
time,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1549916535,694,694.0,694.0,694.0,6.60,5.87,13.45,20.28,23.12,23.89,0.00,673,673.0,673.0,673.0,6.56,5.75,12.81,16.35,33.62,34.60,0.00000
1549916536,1954,1260.0,1260.0,1260.0,3.65,2.27,8.33,17.96,88.74,93.00,0.23,1958,1285.0,1285.0,1285.0,4.08,2.44,9.12,21.23,88.47,91.42,0.23279
1549916537,4145,2191.0,2191.0,2191.0,2.12,1.44,6.17,13.90,33.23,34.70,0.26,4076,2118.0,2118.0,2118.0,2.49,1.57,6.51,14.75,60.85,62.23,0.25562
1549916538,6657,2512.0,2512.0,2512.0,1.89,1.31,5.31,7.58,54.23,56.33,0.22,6678,2602.0,2602.0,2602.0,1.99,1.41,5.78,7.81,56.82,58.85,0.21908
1549916539,9354,2697.0,2697.0,2697.0,1.74,1.21,5.03,7.38,44.47,52.10,0.18,9392,2714.0,2714.0,2714.0,1.91,1.34,5.32,7.47,48.92,53.28,0.18372
1549916540,12237,2883.0,2883.0,2883.0,1.55,1.16,4.91,7.01,10.18,10.40,0.16,12580,3188.0,3188.0,3188.0,1.69,1.29,5.13,7.49,10.53,16.20,0.15963
1549916541,15292,3055.0,3055.0,3055.0,1.55,0.99,4.71,7.73,70.98,72.94,0.14,15559,2979.0,2979.0,2979.0,1.71,1.11,4.82,7.30,65.34,74.51,0.14172
1549916542,18737,3445.0,3445.0,3445.0,1.39,0.89,4.51,7.15,55.90,58.43,0.13,18926,3367.0,3367.0,3367.0,1.50,1.02,4.57,7.02,54.39,58.03,0.13073
1549916543,22494,3757.0,3757.0,3757.0,1.23,0.74,4.15,7.20,40.96,44.63,0.12,22612,3686.0,3686.0,3686.0,1.42,0.89,4.78,8.36,43.42,48.14,0.12281
1549916544,26175,3681.0,3681.0,3681.0,1.26,0.68,3.91,6.74,63.90,78.05,0.11,26169,3557.0,3557.0,3557.0,1.46,0.82,4.46,6.78,74.25,81.59,0.11422
1549916545,30416,4241.0,4241.0,4241.0,1.15,0.63,3.83,6.75,63.73,71.24,0.11,30112,3943.0,3943.0,3943.0,1.28,0.78,4.17,7.04,39.98,69.14,0.10972
1549916546,34461,4045.0,4045.0,4045.0,1.01,0.60,3.01,6.08,42.21,59.44,0.10,34248,4136.0,4136.0,4136.0,1.25,0.76,3.39,7.18,57.90,60.56,0.10363
1549916547,39258,4797.0,4797.0,4797.0,1.03,0.59,1.88,4.96,62.75,71.43,0.10,39059,4811.0,4811.0,4811.0,1.15,0.75,2.14,5.18,62.52,73.01,0.10322
1549916548,43890,4632.0,4632.0,4632.0,1.01,0.60,1.99,5.59,49.87,56.46,0.10,43384,4325.0,4325.0,4325.0,1.21,0.74,2.32,6.58,48.99,55.35,0.09800
1549916549,48330,4440.0,4440.0,4440.0,0.95,0.61,2.07,5.83,42.63,45.71,0.09,48029,4645.0,4645.0,4645.0,1.13,0.74,2.36,6.06,42.89,46.17,0.09296
1549916550,52521,4191.0,4191.0,4191.0,1.15,0.62,2.17,7.43,50.56,63.37,0.09,52127,4098.0,4098.0,4098.0,1.32,0.77,2.50,7.68,62.75,70.65,0.08741
1549916551,56524,4003.0,4003.0,4003.0,1.10,0.66,2.84,7.47,52.59,61.90,0.08,56161,4034.0,4034.0,4034.0,1.36,0.81,3.04,8.33,59.77,62.23,0.08220
1549916552,60016,3492.0,3492.0,3492.0,1.19,0.67,3.01,7.37,48.37,68.16,0.08,59774,3613.0,3613.0,3613.0,1.47,0.84,2.98,8.31,67.96,74.58,0.07740
1549916553,63511,3495.0,3495.0,3495.0,1.28,0.67,3.03,7.40,56.13,58.33,0.07,63519,3745.0,3745.0,3745.0,1.57,0.82,3.38,10.99,55.84,67.96,0.07313
1549916554,67320,3809.0,3809.0,3809.0,1.24,0.66,2.66,7.50,65.01,70.84,0.07,67322,3803.0,3803.0,3803.0,1.36,0.84,2.90,7.71,56.95,70.52,0.06933
1549916555,70961,3641.0,3641.0,3641.0,1.22,0.64,2.77,8.24,55.12,64.32,0.07,70973,3651.0,3651.0,3651.0,1.50,0.79,2.93,11.76,57.97,60.10,0.06588
1549916556,75019,4058.0,4058.0,4058.0,1.12,0.63,2.41,7.77,56.16,56.82,0.06,74851,3878.0,3878.0,3878.0,1.34,0.80,2.79,7.88,58.33,61.90,0.06286
1549916557,78608,3589.0,3589.0,3589.0,1.22,0.68,2.81,6.70,49.35,79.36,0.06,78545,3694.0,3694.0,3694.0,1.49,0.84,3.20,9.58,57.67,59.97,0.06001
1549916558,82347,3739.0,3739.0,3739.0,1.24,0.67,2.84,7.23,60.65,62.59,0.06,82330,3785.0,3785.0,3785.0,1.43,0.83,3.00,6.54,58.72,65.93,0.05742
1549916559,85379,3032.0,3032.0,3032.0,1.65,0.70,4.02,22.56,78.32,124.45,0.06,85335,3005.0,3005.0,3005.0,1.61,0.83,4.13,13.42,74.65,78.45,0.05530
1549916560,87068,1689.0,1689.0,1689.0,2.82,0.63,13.68,25.46,74.84,76.28,0.06,86924,1589.0,1589.0,1589.0,3.29,0.74,14.28,32.33,72.68,77.07,0.05774
1549916561,88668,1600.0,1600.0,1600.0,3.01,0.59,14.17,35.36,111.41,115.67,0.06,88599,1675.0,1675.0,1675.0,3.06,0.76,13.30,28.00,113.84,116.26,0.05937
1549916562,90239,1571.0,1571.0,1571.0,3.12,0.64,15.55,24.17,57.90,69.40,0.06,90178,1579.0,1579.0,1579.0,3.03,0.79,14.81,22.17,61.70,78.12,0.06115
1549916563,91643,1404.0,1404.0,1404.0,3.36,0.62,17.87,40.73,100.34,106.10,0.06,91667,1489.0,1489.0,1489.0,3.66,0.77,17.96,41.19,102.04,106.17,0.06288
1549916564,93153,1510.0,1510.0,1510.0,3.09,0.57,16.43,30.23,49.48,119.87,0.06,93086,1419.0,1419.0,1419.0,3.69,0.71,16.75,32.93,116.65,118.10,0.06412
1549916565,94853,1700.0,1700.0,1700.0,3.11,0.56,16.83,29.07,65.54,87.43,0.06,94512,1426.0,1426.0,1426.0,3.37,0.75,17.73,29.98,84.93,87.69,0.06496
1549916566,96658,1805.0,1805.0,1805.0,3.14,0.62,16.37,29.75,99.16,146.54,0.07,95811,1299.0,1299.0,1299.0,3.31,0.85,15.41,29.43,103.15,106.82,0.06531
1549916567,98007,1349.0,1349.0,1349.0,3.28,0.61,16.48,30.10,105.78,108.59,0.07,97333,1522.0,1522.0,1522.0,3.58,0.77,16.01,38.99,108.79,158.99,0.06582
1549916568,99433,1426.0,1426.0,1426.0,3.20,0.62,17.29,34.11,57.77,58.16,0.07,98852,1519.0,1519.0,1519.0,3.55,0.77,20.07,27.41,57.64,61.21,0.06656
