timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1557348499,29,29,0,29,0,29,0,37,88,2,74,194,38,289,93,289,93,289,93,0,00,42,42,0,42,0,42,0,229,18,206,05,397,41,658,51,658,51,658,51,0,00000
1557348500,81,52,0,52,0,52,0,6,87,2,10,4,07,32,98,208,14,208,14,0,12,107,65,0,65,0,65,0,202,07,151,39,544,21,566,76,596,64,596,64,0,11666
1557348501,161,80,0,80,0,80,0,7,45,1,67,3,57,122,75,319,55,319,55,0,13,181,74,0,74,0,74,0,199,49,163,71,435,68,559,94,582,48,582,48,0,13129
1557348502,282,121,0,121,0,121,0,1,68,1,56,2,67,4,34,4,62,4,62,0,12,271,90,0,90,0,90,0,153,08,139,20,332,40,380,90,478,41,478,41,0,11922
1557348503,338,56,0,56,0,56,0,3,65,1,50,2,67,37,29,83,17,83,17,0,10,366,95,0,95,0,95,0,142,70,126,75,378,80,399,51,420,48,420,48,0,10444
1557348504,552,214,0,214,0,214,0,1,69,1,29,3,16,4,98,24,00,24,00,0,15,499,133,0,133,0,133,0,105,44,86,57,256,51,405,01,421,53,421,53,0,14638
1557348505,701,149,0,149,0,149,0,1,63,1,12,3,02,5,28,35,03,35,03,0,13,622,123,0,123,0,123,0,113,84,102,96,241,57,328,99,399,77,399,77,0,12570
1557348506,837,136,0,136,0,136,0,2,10,1,16,3,39,38,73,50,23,50,23,0,11,762,140,0,140,0,140,0,95,17,89,52,197,92,248,25,282,07,282,07,0,10953
1557348507,998,161,0,161,0,161,0,1,37,1,03,3,04,4,63,5,95,5,95,0,10,914,152,0,152,0,152,0,88,62,79,56,194,90,243,53,381,94,381,94,0,10051
1557348508,1171,173,0,173,0,173,0,1,82,1,04,3,85,7,45,56,36,56,36,0,09,1084,170,0,170,0,170,0,84,52,72,81,198,71,251,00,266,21,266,21,0,09072
1557348509,1306,135,0,135,0,135,0,2,31,0,95,3,70,42,86,62,13,62,13,0,08,1252,168,0,168,0,168,0,76,10,64,32,183,24,266,73,386,40,386,40,0,08341
1557348510,1433,127,0,127,0,127,0,2,51,0,92,3,82,76,09,92,34,92,34,0,08,1400,148,0,148,0,148,0,93,07,81,20,235,67,326,89,341,57,341,57,0,07629
1557348511,1524,91,0,91,0,91,0,2,51,0,86,3,86,37,58,59,60,59,60,0,07,1572,172,0,172,0,172,0,80,41,65,04,199,62,395,05,545,26,545,26,0,07478
1557348512,1735,211,0,211,0,211,0,2,25,0,78,2,22,7,68,134,87,134,87,0,07,1762,190,0,190,0,190,0,75,15,59,02,223,35,305,66,349,18,349,18,0,07421
1557348513,1945,210,0,210,0,210,0,2,79,0,78,3,15,88,80,106,95,106,95,0,07,1950,188,0,188,0,188,0,71,07,64,75,172,62,212,34,279,97,279,97,0,07025
1557348514,2148,203,0,203,0,203,0,2,41,0,82,2,86,70,25,111,87,111,87,0,07,2150,200,0,200,0,200,0,65,06,57,02,167,38,229,90,241,17,241,17,0,06618
1557348515,2339,191,0,191,0,191,0,1,67,0,71,2,59,20,66,54,62,54,62,0,06,2343,193,0,193,0,193,0,65,61,51,68,181,67,265,95,319,03,319,03,0,06312
1557348516,2615,276,0,276,0,276,0,1,10,0,74,2,75,4,96,23,17,23,17,0,10,2521,178,0,178,0,178,0,85,32,52,92,304,87,573,57,608,70,608,70,0,09505
1557348517,2924,309,0,309,0,309,0,0,95,0,68,2,09,4,06,13,44,13,44,0,09,2744,223,0,223,0,223,0,59,78,48,73,188,09,291,77,323,49,323,49,0,09221
1557348518,3119,195,0,195,0,195,0,2,03,0,68,3,37,48,04,57,44,57,44,0,09,2980,236,0,236,0,236,0,59,19,50,82,141,30,193,46,223,87,223,87,0,08731
1557348519,3324,205,0,205,0,205,0,1,18,0,65,2,20,23,92,27,62,27,62,0,08,3247,267,0,267,0,267,0,50,07,37,36,142,74,190,32,317,46,317,46,0,08337
1557348520,3522,198,0,198,0,198,0,2,21,0,66,2,86,50,95,78,71,78,71,0,08,3523,276,0,276,0,276,0,49,83,38,37,139,20,240,52,259,92,259,92,0,07941
1557348521,3860,338,0,338,0,338,0,0,84,0,62,1,19,4,34,35,16,35,16,0,08,3820,297,0,297,0,297,0,46,82,36,70,134,87,168,43,184,42,184,42,0,07709
1557348522,4056,196,0,196,0,196,0,1,50,0,68,2,87,7,86,54,17,54,17,0,07,4027,207,0,207,0,207,0,62,27,39,68,186,78,305,14,382,21,382,21,0,07374
1557348523,4211,155,0,155,0,155,0,1,65,0,64,1,89,8,27,82,38,82,38,0,07,4202,175,0,175,0,175,0,79,67,48,01,257,82,384,57,439,35,439,35,0,07063
1557348524,4430,219,0,219,0,219,0,0,85,0,64,2,09,4,20,8,97,8,97,0,07,4489,287,0,287,0,287,0,49,95,33,11,170,39,276,30,359,14,359,14,0,06885
1557348525,4728,298,0,298,0,298,0,1,12,0,58,1,67,4,44,56,98,56,98,0,07,4828,339,0,339,0,339,0,40,69,28,70,123,54,180,88,221,90,221,90,0,06739
1557348526,4792,64,0,64,0,64,0,1,60,0,58,4,49,24,26,26,23,26,23,0,07,4993,165,0,165,0,165,0,73,91,37,06,351,27,446,17,573,05,573,05,0,06510
1557348527,4943,151,0,151,0,151,0,7,45,0,84,35,78,117,05,162,14,162,14,0,06,5158,165,0,165,0,165,0,78,43,35,19,274,46,355,99,580,91,580,91,0,06319
1557348528,5102,159,0,159,0,159,0,7,73,1,00,8,95,156,89,262,54,262,54,0,14,5285,127,0,127,0,127,0,103,98,36,83,388,50,568,85,1229,98,1229,98,0,13558
1557348529,5199,97,0,97,0,97,0,7,16,0,90,8,58,212,34,213,78,213,78,0,13,5407,122,0,122,0,122,0,108,48,49,74,401,08,541,07,544,74,544,74,0,13143
1557348530,5286,87,0,87,0,87,0,8,46,0,80,58,95,126,42,226,10,226,10,0,16,5512,105,0,105,0,105,0,130,54,69,01,486,54,622,33,927,99,927,99,0,16138
