timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1553113955,520,520.0,520.0,520.0,13.47,9.44,52.04,78.25,83.17,87.10,0.00,606,606.0,606.0,606.0,13.64,10.19,42.93,79.10,87.82,103.22,0.00000
1553113956,1533,1013.0,1013.0,1013.0,8.01,4.64,23.77,66.49,91.23,111.28,0.22,1679,1073.0,1073.0,1073.0,9.10,4.74,28.72,85.52,115.61,132.19,0.22186
1553113957,2895,1362.0,1362.0,1362.0,6.22,2.24,22.12,70.12,136.18,141.69,0.21,3046,1367.0,1367.0,1367.0,6.93,2.39,24.18,79.23,130.35,169.87,0.20740
1553113958,4252,1357.0,1357.0,1357.0,7.03,2.16,29.02,95.42,109.84,112.79,0.16,4372,1326.0,1326.0,1326.0,6.37,2.19,23.76,80.61,111.02,114.75,0.15718
1553113959,6207,1955.0,1955.0,1955.0,4.13,2.30,10.90,35.65,81.20,84.93,0.16,6361,1989.0,1989.0,1989.0,4.92,2.64,14.32,58.36,87.03,90.31,0.15888
1553113960,8260,2053.0,2053.0,2053.0,4.65,2.17,15.91,55.51,74.78,93.65,0.14,8064,1703.0,1703.0,1703.0,4.40,2.24,13.77,43.42,69.99,122.42,0.14072
1553113961,9705,1445.0,1445.0,1445.0,5.91,2.15,19.51,74.91,96.73,102.43,0.12,9537,1473.0,1473.0,1473.0,6.98,2.58,26.35,86.18,95.68,98.50,0.11995
1553113962,11574,1869.0,1869.0,1869.0,4.72,1.85,13.68,65.27,89.72,95.09,0.11,11353,1816.0,1816.0,1816.0,4.74,2.09,13.08,65.08,90.24,101.12,0.10698
1553113963,13075,1501.0,1501.0,1501.0,5.54,1.93,16.49,80.48,94.77,100.79,0.09,13155,1802.0,1802.0,1802.0,5.61,2.18,16.06,78.38,89.13,96.80,0.09471
1553113964,14740,1665.0,1665.0,1665.0,5.03,1.97,18.25,66.52,77.53,83.95,0.09,14898,1743.0,1743.0,1743.0,5.26,2.19,16.62,61.31,85.00,103.61,0.08518
1553113965,16549,1809.0,1809.0,1809.0,4.60,1.65,17.12,53.18,103.15,109.45,0.08,16643,1745.0,1745.0,1745.0,5.80,1.99,20.89,75.76,116.92,127.99,0.07818
1553113966,18010,1461.0,1461.0,1461.0,5.79,1.68,19.87,65.70,147.98,167.12,0.07,18123,1480.0,1480.0,1480.0,6.11,2.02,20.64,70.45,148.50,164.63,0.07151
1553113967,19294,1284.0,1284.0,1284.0,6.36,1.63,26.61,86.38,164.89,164.89,0.07,19565,1442.0,1442.0,1442.0,6.82,2.10,33.18,88.87,107.28,107.81,0.06632
1553113968,21139,1845.0,1845.0,1845.0,5.23,1.67,20.55,65.37,117.57,134.02,0.06,21192,1627.0,1627.0,1627.0,5.37,1.81,20.73,67.44,113.64,138.02,0.06204
1553113969,22610,1471.0,1471.0,1471.0,5.75,1.60,23.87,77.46,123.60,128.45,0.06,22795,1603.0,1603.0,1603.0,5.92,1.73,25.56,78.64,123.47,128.06,0.05784
1553113970,24492,1882.0,1882.0,1882.0,4.61,1.63,13.48,78.71,106.82,110.95,0.06,24678,1883.0,1883.0,1883.0,4.88,1.93,12.75,76.74,99.02,110.56,0.05514
1553113971,26529,2037.0,2037.0,2037.0,4.45,1.71,13.57,63.24,96.99,97.98,0.05,26659,1981.0,1981.0,1981.0,4.52,1.86,13.69,54.62,85.92,92.08,0.05330
1553113972,28228,1699.0,1699.0,1699.0,5.71,1.63,23.99,65.73,88.28,100.07,0.05,28162,1503.0,1503.0,1503.0,5.49,1.76,22.59,59.67,84.80,136.71,0.05027
1553113973,29897,1669.0,1669.0,1669.0,4.89,1.62,16.75,66.39,96.86,102.83,0.05,29886,1724.0,1724.0,1724.0,5.69,1.93,18.33,70.52,106.95,123.99,0.04761
1553113974,31372,1475.0,1475.0,1475.0,5.52,1.74,17.81,73.79,170.39,189.14,0.05,31456,1570.0,1570.0,1570.0,6.02,2.03,19.17,72.02,157.68,250.61,0.04539
1553113975,32841,1469.0,1469.0,1469.0,5.71,1.79,22.05,63.31,91.36,97.71,0.04,33019,1563.0,1563.0,1563.0,5.88,2.05,21.45,63.93,84.02,89.46,0.04349
1553113976,34029,1188.0,1188.0,1188.0,7.68,1.70,30.34,110.17,168.56,169.21,0.04,34318,1299.0,1299.0,1299.0,7.34,1.67,29.41,117.64,148.37,170.13,0.04249
1553113977,35303,1274.0,1274.0,1274.0,6.59,1.43,27.53,82.51,139.33,142.74,0.04,35620,1302.0,1302.0,1302.0,7.01,1.56,28.08,95.42,137.49,144.05,0.04147
1553113978,36979,1676.0,1676.0,1676.0,5.33,1.49,20.12,69.27,136.97,140.12,0.04,37275,1655.0,1655.0,1655.0,5.60,1.78,21.05,79.10,127.86,143.13,0.03978
1553113979,38527,1548.0,1548.0,1548.0,5.87,1.47,28.51,77.73,105.78,108.07,0.04,38917,1642.0,1642.0,1642.0,5.50,1.80,20.23,72.81,92.27,110.62,0.03818
1553113980,39994,1467.0,1467.0,1467.0,5.75,1.84,20.55,72.16,99.81,104.14,0.04,40437,1520.0,1520.0,1520.0,6.15,1.98,21.04,70.52,81.53,96.99,0.03688
1553113981,41366,1372.0,1372.0,1372.0,6.25,1.96,25.80,75.37,92.27,96.40,0.04,42018,1581.0,1581.0,1581.0,6.11,1.99,25.48,74.71,89.98,93.32,0.03574
1553113982,42625,1259.0,1259.0,1259.0,6.15,2.13,22.36,77.27,88.60,89.59,0.04,43358,1340.0,1340.0,1340.0,7.60,2.35,27.54,82.44,93.65,102.11,0.03528
1553113983,44154,1529.0,1529.0,1529.0,5.69,2.11,19.20,71.76,100.27,101.91,0.03,44896,1538.0,1538.0,1538.0,5.84,2.47,17.61,76.22,92.80,102.04,0.03411
