timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1555114919,423,423.0,423.0,423.0,6.28,4.67,12.97,34.08,83.30,83.30,0.00,571,571.0,571.0,571.0,7.03,4.72,14.33,42.50,87.29,94.24,0.00000
1555114920,1636,1213.0,1213.0,1213.0,3.48,2.01,7.73,20.30,104.07,104.79,0.29,1705,1134.0,1134.0,1134.0,3.68,2.27,8.56,16.49,100.07,100.60,0.28981
1555114921,3323,1687.0,1687.0,1687.0,1.81,1.13,5.60,8.68,21.45,146.67,0.28,3533,1828.0,1828.0,1828.0,2.69,1.33,5.96,19.37,152.17,156.89,0.27535
1555114922,4901,1578.0,1578.0,1578.0,2.33,1.11,5.90,25.00,79.04,90.18,0.20,5216,1683.0,1683.0,1683.0,2.53,1.42,6.27,17.58,62.32,91.82,0.20264
1555114923,6511,1610.0,1610.0,1610.0,2.20,1.26,4.55,21.04,58.85,131.33,0.16,6728,1512.0,1512.0,1512.0,2.91,1.54,5.25,45.71,120.46,127.99,0.16020
1555114924,8314,1803.0,1803.0,1803.0,1.98,1.22,4.26,10.19,57.97,60.33,0.13,8499,1771.0,1771.0,1771.0,2.39,1.46,5.07,13.61,59.64,67.04,0.13368
1555114925,10098,1784.0,1784.0,1784.0,2.06,1.18,4.46,12.40,52.53,61.01,0.11,10326,1827.0,1827.0,1827.0,2.39,1.40,4.89,38.96,59.51,62.23,0.11465
1555114926,11918,1820.0,1820.0,1820.0,2.08,1.16,4.90,11.75,54.39,56.46,0.10,11978,1652.0,1652.0,1652.0,2.52,1.41,5.71,34.24,57.28,58.39,0.09986
1555114927,13577,1659.0,1659.0,1659.0,2.23,1.14,5.01,43.88,57.70,61.18,0.09,13705,1727.0,1727.0,1727.0,2.47,1.35,5.88,42.21,56.66,59.90,0.08838
1555114928,15191,1614.0,1614.0,1614.0,2.31,1.02,5.11,48.30,64.29,70.71,0.08,15432,1727.0,1727.0,1727.0,2.44,1.31,5.50,40.01,64.55,66.16,0.07927
1555114929,16880,1689.0,1689.0,1689.0,2.11,1.06,4.78,9.90,128.19,132.78,0.07,17093,1661.0,1661.0,1661.0,2.64,1.34,4.90,49.84,129.24,136.45,0.07227
1555114930,18196,1316.0,1316.0,1316.0,3.00,1.19,4.64,70.58,112.20,113.31,0.07,18601,1508.0,1508.0,1508.0,2.67,1.36,5.17,54.62,104.92,113.12,0.06683
1555114931,19773,1577.0,1577.0,1577.0,2.39,1.10,6.28,35.95,71.96,83.10,0.06,20102,1501.0,1501.0,1501.0,2.79,1.27,7.02,45.45,73.27,77.73,0.06174
1555114932,20952,1179.0,1179.0,1179.0,3.11,1.31,7.73,50.59,84.61,87.69,0.06,21401,1299.0,1299.0,1299.0,3.32,1.64,7.97,38.73,88.08,90.31,0.05974
1555114933,22222,1270.0,1270.0,1270.0,3.31,1.34,7.74,54.23,81.66,81.72,0.06,22606,1205.0,1205.0,1205.0,3.12,1.66,7.45,42.17,73.20,75.76,0.05788
1555114934,23562,1340.0,1340.0,1340.0,2.68,1.43,7.68,17.81,69.27,71.96,0.06,23755,1149.0,1149.0,1149.0,3.80,1.63,10.49,63.08,73.86,80.08,0.05597
1555114935,24739,1177.0,1177.0,1177.0,3.10,1.70,7.62,48.73,64.98,70.84,0.05,24969,1214.0,1214.0,1214.0,3.56,1.94,9.04,51.84,64.59,68.16,0.05472
1555114936,25804,1065.0,1065.0,1065.0,3.33,1.79,8.37,47.45,72.88,76.28,0.05,26207,1238.0,1238.0,1238.0,3.57,2.06,8.62,52.30,73.01,77.53,0.05376
1555114937,26854,1050.0,1050.0,1050.0,3.49,1.82,9.41,53.25,61.96,62.19,0.05,27242,1035.0,1035.0,1035.0,4.16,2.13,11.12,53.41,67.17,67.90,0.05400
1555114938,27813,959.0,959.0,959.0,3.80,1.57,9.81,58.92,65.70,68.94,0.05,28298,1056.0,1056.0,1056.0,4.10,2.10,11.22,51.45,79.10,82.38,0.05413
1555114939,28913,1100.0,1100.0,1100.0,3.88,1.72,9.01,62.82,110.76,114.75,0.05,29164,866.0,866.0,866.0,4.27,2.15,9.37,59.57,111.15,121.31,0.05381
