Running [WRITE, READ] with 24 threads 30 minutes
time,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1551991678,657,657.0,657.0,657.0,16.19,12.32,44.96,98.96,135.79,154.01,0.00,595,595.0,595.0,595.0,17.44,12.77,43.06,128.06,176.69,193.59,0.00000
1551991679,1973,1316.0,1316.0,1316.0,10.13,6.40,20.92,103.48,142.74,143.52,0.20,1679,1084.0,1084.0,1084.0,9.72,7.07,20.37,66.85,131.79,143.26,0.20291
1551991680,4393,2420.0,2420.0,2420.0,4.89,2.75,10.40,59.51,71.04,71.70,0.28,4190,2511.0,2511.0,2511.0,4.81,2.83,10.33,54.69,70.45,72.88,0.28043
1551991681,6954,2561.0,2561.0,2561.0,4.67,2.86,10.66,46.86,65.86,73.14,0.22,6580,2390.0,2390.0,2390.0,4.63,2.95,10.67,41.35,67.70,71.37,0.21807
1551991682,9643,2689.0,2689.0,2689.0,4.31,2.55,9.14,49.28,66.88,72.61,0.18,9233,2653.0,2653.0,2653.0,4.96,2.72,11.85,57.21,66.58,68.29,0.17973
1551991683,12712,3069.0,3069.0,3069.0,3.77,1.94,7.95,50.23,84.74,91.10,0.16,12208,2975.0,2975.0,2975.0,4.15,2.08,8.60,53.64,80.61,99.55,0.16020
1551991684,16626,3914.0,3914.0,3914.0,2.98,1.62,6.80,50.46,90.18,91.88,0.16,15729,3521.0,3521.0,3521.0,3.21,1.76,7.08,49.25,86.70,99.75,0.15572
1551991685,20485,3859.0,3859.0,3859.0,3.09,1.62,7.84,47.35,76.74,97.58,0.14,19383,3654.0,3654.0,3654.0,3.32,1.70,7.80,48.89,77.66,82.25,0.14359
1551991686,24388,3903.0,3903.0,3903.0,3.20,1.51,7.21,46.96,99.68,105.51,0.13,22808,3425.0,3425.0,3425.0,3.52,1.61,7.57,49.68,106.04,112.72,0.13069
1551991687,28721,4333.0,4333.0,4333.0,2.76,1.49,6.35,47.71,55.67,62.00,0.12,26960,4152.0,4152.0,4152.0,2.86,1.62,6.42,44.53,53.94,64.55,0.12222
1551991688,32901,4180.0,4180.0,4180.0,2.80,1.39,6.51,45.51,87.16,107.61,0.11,30985,4025.0,4025.0,4025.0,3.02,1.51,6.76,46.37,87.43,95.42,0.11402
1551991689,37203,4302.0,4302.0,4302.0,2.49,1.19,6.37,40.53,89.33,138.67,0.11,35667,4682.0,4682.0,4682.0,2.81,1.29,6.85,45.06,129.43,157.55,0.11098
1551991690,40733,3530.0,3530.0,3530.0,3.41,1.16,10.03,55.97,175.24,197.39,0.10,39335,3668.0,3668.0,3668.0,3.23,1.22,9.16,49.15,175.11,178.52,0.10265
1551991691,44849,4116.0,4116.0,4116.0,2.93,1.04,7.84,53.64,152.04,154.66,0.10,43413,4078.0,4078.0,4078.0,2.91,1.11,7.78,48.56,152.04,174.19,0.09682
1551991692,48628,3779.0,3779.0,3779.0,2.69,1.21,6.15,39.19,149.95,156.76,0.09,47623,4210.0,4210.0,4210.0,2.97,1.27,6.88,42.04,153.62,155.32,0.09079
1551991693,52106,3478.0,3478.0,3478.0,3.37,1.05,9.54,60.98,138.28,144.05,0.08,50972,3349.0,3349.0,3349.0,3.96,1.30,9.95,66.09,141.69,144.83,0.08481
1551991694,55926,3820.0,3820.0,3820.0,2.87,1.15,7.65,46.10,120.13,129.43,0.08,54980,4008.0,4008.0,4008.0,3.25,1.24,7.41,51.31,122.88,146.28,0.07990
1551991695,60479,4553.0,4553.0,4553.0,2.63,1.15,5.88,47.25,130.74,153.62,0.08,59349,4369.0,4369.0,4369.0,2.73,1.24,5.84,49.58,117.11,136.71,0.07692
1551991696,65516,5037.0,5037.0,5037.0,2.25,1.24,5.14,15.05,87.03,98.63,0.07,64083,4734.0,4734.0,4734.0,2.57,1.31,5.08,52.99,97.39,113.51,0.07461
1551991697,69964,4448.0,4448.0,4448.0,2.52,1.16,5.50,49.58,67.37,72.42,0.07,68598,4515.0,4515.0,4515.0,2.69,1.28,5.61,49.58,67.90,71.24,0.07097
1551991698,74141,4177.0,4177.0,4177.0,2.72,1.10,6.09,55.77,74.06,88.21,0.07,73087,4489.0,4489.0,4489.0,2.88,1.20,6.68,59.51,82.18,89.00,0.06760
1551991699,79716,5575.0,5575.0,5575.0,2.14,1.17,4.30,36.54,74.78,84.41,0.07,78861,5774.0,5774.0,5774.0,2.14,1.28,4.39,22.77,66.88,77.27,0.06736
1551991700,84644,4928.0,4928.0,4928.0,2.25,1.10,4.54,49.09,77.59,82.31,0.07,84191,5330.0,5330.0,5330.0,2.29,1.25,4.60,44.34,80.22,82.51,0.06526
1551991701,89370,4726.0,4726.0,4726.0,2.26,1.09,5.99,41.71,63.37,71.50,0.06,88766,4575.0,4575.0,4575.0,2.55,1.18,5.82,46.53,65.47,67.96,0.06256
1551991702,93978,4608.0,4608.0,4608.0,2.57,1.07,6.39,47.05,88.28,106.63,0.06,93898,5132.0,5132.0,5132.0,2.75,1.19,6.14,46.99,103.48,107.35,0.06048
1551991703,98193,4215.0,4215.0,4215.0,2.72,1.10,6.62,53.54,82.44,103.09,0.06,98142,4244.0,4244.0,4244.0,2.92,1.25,6.98,52.23,84.02,111.74,0.05807
1551991704,102940,4747.0,4747.0,4747.0,2.32,1.08,6.84,28.25,66.58,71.96,0.06,103221,5079.0,5079.0,5079.0,2.53,1.13,7.64,36.34,67.63,93.98,0.05622
1551991705,106652,3712.0,3712.0,3712.0,3.07,1.15,7.87,50.30,116.00,122.88,0.05,106846,3625.0,3625.0,3625.0,3.42,1.29,8.51,55.35,116.26,123.01,0.05428
1551991706,110876,4224.0,4224.0,4224.0,2.72,1.29,7.00,43.68,66.81,68.75,0.05,111145,4299.0,4299.0,4299.0,2.90,1.37,7.08,49.15,66.36,68.81,0.05233
1551991707,116606,5730.0,5730.0,5730.0,2.10,1.14,4.62,24.69,66.91,86.38,0.05,116615,5470.0,5470.0,5470.0,2.16,1.24,5.01,16.12,63.18,84.74,0.05172
1551991708,121787,5181.0,5181.0,5181.0,2.30,1.06,5.21,45.84,74.65,84.15,0.05,121642,5027.0,5027.0,5027.0,2.33,1.17,5.35,46.24,66.13,77.07,0.05036
1551991709,126618,4831.0,4831.0,4831.0,2.20,1.08,5.07,36.27,85.13,102.50,0.05,126771,5129.0,5129.0,5129.0,2.44,1.20,5.31,48.89,78.05,88.08,0.04904
1551991710,131321,4703.0,4703.0,4703.0,2.66,1.15,6.16,50.72,80.61,83.62,0.05,131213,4442.0,4442.0,4442.0,2.75,1.23,6.53,47.64,80.74,98.96,0.04754
1551991711,136002,4681.0,4681.0,4681.0,2.45,1.16,5.45,47.28,71.04,79.36,0.05,135993,4780.0,4780.0,4780.0,2.55,1.25,5.57,46.43,76.55,78.12,0.04614
1551991712,140945,4943.0,4943.0,4943.0,2.49,1.11,5.52,43.58,72.68,78.51,0.04,140477,4484.0,4484.0,4484.0,2.62,1.20,6.13,44.73,74.78,76.61,0.04482
1551991713,145776,4831.0,4831.0,4831.0,2.43,1.08,6.05,43.22,72.42,76.48,0.04,145078,4601.0,4601.0,4601.0,2.53,1.21,6.07,44.53,73.79,76.55,0.04356
1551991714,151130,5354.0,5354.0,5354.0,2.17,1.14,5.32,29.64,83.43,106.36,0.04,150190,5112.0,5112.0,5112.0,2.47,1.24,5.81,38.04,80.67,96.80,0.04277
1551991715,156604,5474.0,5474.0,5474.0,2.13,1.13,4.98,25.77,81.99,86.64,0.04,155316,5126.0,5126.0,5126.0,2.40,1.26,5.48,34.24,84.34,112.07,0.04208
1551991716,161340,4736.0,4736.0,4736.0,2.42,1.16,5.04,50.23,66.88,70.12,0.04,160089,4773.0,4773.0,4773.0,2.49,1.25,5.46,49.87,66.06,90.31,0.04100
1551991717,165925,4585.0,4585.0,4585.0,2.58,1.22,4.34,48.20,144.57,154.14,0.04,164826,4737.0,4737.0,4737.0,2.66,1.27,4.56,48.33,125.76,135.00,0.04007
1551991718,169514,3589.0,3589.0,3589.0,2.74,1.19,5.27,44.92,160.04,164.63,0.04,168707,3881.0,3881.0,3881.0,2.92,1.33,5.60,45.51,161.61,182.19,0.03911
1551991719,173435,3921.0,3921.0,3921.0,3.44,1.22,5.89,56.79,215.48,218.76,0.04,172633,3926.0,3926.0,3926.0,3.19,1.35,5.96,51.54,199.36,225.44,0.03816
1551991720,178227,4792.0,4792.0,4792.0,2.34,1.22,5.23,37.85,85.26,97.98,0.04,177287,4654.0,4654.0,4654.0,2.72,1.31,5.74,49.58,87.23,94.04,0.03728
1551991721,182691,4464.0,4464.0,4464.0,2.52,1.21,5.03,45.02,121.90,127.60,0.04,182182,4895.0,4895.0,4895.0,2.69,1.32,4.72,45.91,122.75,127.34,0.03646
1551991722,187346,4655.0,4655.0,4655.0,2.40,1.17,4.71,52.40,73.66,91.68,0.04,187086,4904.0,4904.0,4904.0,2.59,1.27,5.16,52.69,75.37,87.03,0.03566
1551991723,191610,4264.0,4264.0,4264.0,2.75,1.23,5.62,59.31,92.01,100.99,0.03,191290,4204.0,4204.0,4204.0,2.89,1.33,5.81,58.49,89.00,93.45,0.03488
1551991724,195990,4380.0,4380.0,4380.0,2.63,1.16,5.82,52.59,69.34,78.91,0.03,195472,4182.0,4182.0,4182.0,2.84,1.30,6.74,50.72,69.73,96.14,0.03413
1551991725,201151,5161.0,5161.0,5161.0,2.13,1.20,3.99,44.04,68.42,74.91,0.03,200696,5224.0,5224.0,5224.0,2.54,1.29,4.47,51.45,67.63,71.04,0.03353
1551991726,205909,4758.0,4758.0,4758.0,2.15,1.13,4.70,36.14,69.14,71.76,0.03,205856,5160.0,5160.0,5160.0,2.12,1.21,4.58,18.66,68.35,81.53,0.03288
1551991727,210887,4978.0,4978.0,4978.0,2.64,1.13,5.03,54.39,127.40,132.45,0.03,210861,5005.0,5005.0,5005.0,2.55,1.24,4.86,52.82,127.86,133.96,0.03238
1551991728,215386,4499.0,4499.0,4499.0,2.62,1.16,5.86,54.46,94.11,98.70,0.03,215613,4752.0,4752.0,4752.0,2.59,1.25,6.63,42.04,90.51,99.35,0.03174
1551991729,220148,4762.0,4762.0,4762.0,2.51,1.24,4.59,48.96,114.82,121.31,0.03,220220,4607.0,4607.0,4607.0,2.68,1.37,4.80,52.89,108.92,123.40,0.03114
