timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1553110347,815,815.0,815.0,815.0,10.08,9.13,18.78,27.33,30.34,30.46,0.00,747,747.0,747.0,747.0,10.48,9.92,18.55,26.66,33.78,33.85,0.00000
1553110348,2262,1447.0,1447.0,1447.0,6.32,5.27,12.60,17.89,54.46,54.76,0.20,2033,1286.0,1286.0,1286.0,6.77,5.75,13.20,16.58,54.00,56.16,0.20041
1553110349,5457,3195.0,3195.0,3195.0,2.86,1.91,7.52,13.61,51.51,55.05,0.33,4975,2942.0,2942.0,2942.0,2.98,2.03,7.56,13.38,51.54,56.30,0.32532
1553110350,8968,3511.0,3511.0,3511.0,2.54,1.86,6.62,9.32,50.53,55.77,0.26,8246,3271.0,3271.0,3271.0,2.74,1.95,6.89,9.46,56.20,58.79,0.25863
1553110351,12302,3334.0,3334.0,3334.0,2.71,1.89,6.36,10.08,62.03,66.68,0.21,11368,3122.0,3122.0,3122.0,2.82,1.99,6.39,8.34,60.13,67.57,0.20548
1553110352,15783,3481.0,3481.0,3481.0,2.46,1.67,6.58,14.84,44.27,45.78,0.17,15052,3684.0,3684.0,3684.0,2.52,1.78,6.42,11.40,43.09,45.22,0.17275
1553110353,19849,4066.0,4066.0,4066.0,2.21,1.50,5.80,8.40,57.67,73.86,0.15,18915,3863.0,3863.0,3863.0,2.30,1.59,6.30,8.51,50.07,73.40,0.15376
1553110354,23992,4143.0,4143.0,4143.0,2.13,1.20,5.71,11.21,75.63,77.92,0.14,23008,4093.0,4093.0,4093.0,2.20,1.35,5.82,11.41,65.96,78.18,0.13855
1553110355,28100,4108.0,4108.0,4108.0,1.91,1.06,5.44,8.40,75.43,97.52,0.13,27412,4404.0,4404.0,4404.0,2.27,1.24,6.15,11.44,79.36,82.25,0.12691
1553110356,31725,3625.0,3625.0,3625.0,2.21,1.01,5.84,14.14,78.84,93.59,0.11,31077,3665.0,3665.0,3665.0,2.48,1.18,6.06,37.09,83.36,86.44,0.11358
1553110357,36178,4453.0,4453.0,4453.0,1.96,1.03,4.57,9.18,65.11,74.06,0.11,35240,4163.0,4163.0,4163.0,2.39,1.23,5.08,49.84,74.12,94.24,0.10522
1553110358,39941,3763.0,3763.0,3763.0,2.29,1.06,4.83,51.48,69.66,89.39,0.10,39109,3869.0,3869.0,3869.0,2.36,1.26,4.83,46.86,71.63,85.39,0.09613
1553110359,43827,3886.0,3886.0,3886.0,2.26,1.02,4.46,54.82,71.43,75.63,0.09,42926,3817.0,3817.0,3817.0,2.43,1.21,4.72,52.92,70.06,101.32,0.08861
1553110360,47496,3669.0,3669.0,3669.0,2.30,1.04,5.51,51.12,72.16,99.22,0.08,46678,3752.0,3752.0,3752.0,2.52,1.20,5.69,52.17,69.40,73.47,0.08202
1553110361,51333,3837.0,3837.0,3837.0,2.29,1.05,5.24,18.24,94.04,112.98,0.08,50248,3570.0,3570.0,3570.0,2.55,1.20,5.63,45.51,90.90,97.45,0.07638
1553110362,54584,3251.0,3251.0,3251.0,2.46,1.10,5.98,53.71,67.76,69.86,0.07,53462,3214.0,3214.0,3214.0,3.07,1.30,6.78,57.54,67.90,87.62,0.07182
1553110363,58037,3453.0,3453.0,3453.0,2.57,1.18,5.88,57.51,68.42,70.91,0.07,56802,3340.0,3340.0,3340.0,2.73,1.34,6.40,52.99,70.91,97.58,0.06752
1553110364,61401,3364.0,3364.0,3364.0,2.67,1.23,6.09,58.69,97.85,124.85,0.06,59957,3155.0,3155.0,3155.0,2.83,1.42,6.34,51.71,96.47,125.30,0.06373
1553110365,64317,2916.0,2916.0,2916.0,2.83,1.25,6.78,57.41,71.17,82.51,0.06,62940,2983.0,2983.0,2983.0,3.23,1.36,7.29,63.24,74.19,84.02,0.06113
1553110366,67649,3332.0,3332.0,3332.0,2.61,1.14,6.13,49.97,80.87,87.16,0.06,66232,3292.0,3292.0,3292.0,2.81,1.30,6.74,53.28,79.50,81.85,0.05811
1553110367,70942,3293.0,3293.0,3293.0,2.66,1.17,5.62,51.58,118.62,124.32,0.06,69394,3162.0,3162.0,3162.0,2.90,1.36,5.71,61.18,111.54,120.85,0.05532
1553110368,74406,3464.0,3464.0,3464.0,2.40,1.02,5.04,60.42,74.32,92.54,0.05,72990,3596.0,3596.0,3596.0,2.59,1.14,5.27,58.20,72.94,90.18,0.05273
1553110369,77667,3261.0,3261.0,3261.0,2.58,1.11,5.87,59.74,74.19,75.43,0.05,76229,3239.0,3239.0,3239.0,3.01,1.32,6.68,60.69,69.73,76.28,0.05056
1553110370,81050,3383.0,3383.0,3383.0,2.67,1.25,5.79,52.26,69.14,71.76,0.05,79526,3297.0,3297.0,3297.0,2.70,1.40,5.79,50.40,66.88,69.07,0.04850
1553110371,84356,3306.0,3306.0,3306.0,2.66,1.26,5.71,50.99,76.61,81.46,0.05,82843,3317.0,3317.0,3317.0,2.75,1.45,5.60,51.64,79.76,81.46,0.04659
1553110372,87699,3343.0,3343.0,3343.0,2.80,1.07,7.16,52.26,85.00,108.27,0.04,86123,3280.0,3280.0,3280.0,2.61,1.28,6.39,27.89,81.99,105.51,0.04478
1553110373,91537,3838.0,3838.0,3838.0,2.41,1.09,4.82,52.59,71.96,99.68,0.04,89843,3720.0,3720.0,3720.0,2.32,1.19,5.08,31.62,73.40,88.60,0.04321
1553110374,95829,4292.0,4292.0,4292.0,2.10,1.07,5.73,14.91,73.40,80.28,0.04,93934,4091.0,4091.0,4091.0,2.17,1.19,5.54,13.06,69.40,89.00,0.04220
1553110375,99053,3224.0,3224.0,3224.0,2.67,1.20,6.09,56.49,73.20,75.30,0.04,97296,3362.0,3362.0,3362.0,2.77,1.38,6.66,40.27,74.65,90.11,0.04079
1553110376,102425,3372.0,3372.0,3372.0,2.62,1.13,5.66,53.97,99.68,105.51,0.04,100757,3461.0,3461.0,3461.0,2.62,1.26,5.71,32.28,100.20,106.50,0.03940
1553110377,105913,3488.0,3488.0,3488.0,2.50,1.09,5.51,51.25,73.99,76.41,0.04,104323,3566.0,3566.0,3566.0,2.57,1.22,5.53,45.42,76.94,112.79,0.03811
1553110378,109146,3233.0,3233.0,3233.0,2.85,1.08,6.13,58.59,71.76,72.29,0.04,107342,3019.0,3019.0,3019.0,2.88,1.26,6.07,55.64,75.83,99.88,0.03706
1553110379,112474,3328.0,3328.0,3328.0,2.64,1.14,5.60,50.66,82.77,97.58,0.04,110616,3274.0,3274.0,3274.0,2.67,1.30,5.86,52.99,79.36,89.39,0.03595
1553110380,115192,2718.0,2718.0,2718.0,3.36,1.22,7.77,66.55,83.82,89.26,0.04,113280,2664.0,2664.0,2664.0,3.20,1.37,7.61,60.85,87.10,95.81,0.03558
1553110381,117923,2731.0,2731.0,2731.0,3.02,1.13,8.11,63.96,75.63,77.86,0.04,116089,2809.0,2809.0,2809.0,3.37,1.37,8.35,62.00,78.05,85.39,0.03511
1553110382,121239,3316.0,3316.0,3316.0,2.76,1.18,7.08,41.03,80.94,98.30,0.03,119308,3219.0,3219.0,3219.0,2.96,1.28,6.44,59.80,90.31,109.64,0.03414
1553110383,124076,2837.0,2837.0,2837.0,2.94,1.20,5.26,67.04,85.07,111.87,0.03,122116,2808.0,2808.0,2808.0,3.28,1.33,6.37,68.09,83.43,88.74,0.03353
1553110384,126950,2874.0,2874.0,2874.0,3.01,1.16,6.18,62.59,94.11,99.68,0.03,125077,2961.0,2961.0,2961.0,3.26,1.38,6.39,67.11,85.92,94.50,0.03288
1553110385,129736,2786.0,2786.0,2786.0,3.23,1.17,6.71,73.33,88.93,98.57,0.03,127688,2611.0,2611.0,2611.0,3.12,1.39,6.53,62.91,89.85,103.09,0.03249
1553110386,132328,2592.0,2592.0,2592.0,3.67,1.19,8.57,63.41,166.85,169.87,0.03,130240,2552.0,2552.0,2552.0,3.64,1.32,8.09,63.34,163.71,167.77,0.03200
1553110387,135257,2929.0,2929.0,2929.0,2.39,1.10,5.17,17.47,192.15,201.59,0.03,133073,2833.0,2833.0,2833.0,3.48,1.38,6.05,59.77,201.85,234.23,0.03121
