timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1555100503,622,622.0,622.0,622.0,5.20,4.06,11.86,15.86,29.66,32.33,0.00,696,696.0,696.0,696.0,5.43,4.69,11.37,16.88,22.59,26.39,0.00000
1555100504,1886,1264.0,1264.0,1264.0,2.84,1.50,7.62,14.79,69.40,69.99,0.25,2107,1411.0,1411.0,1411.0,3.22,1.89,7.71,17.76,71.89,73.92,0.25394
1555100505,3938,2052.0,2052.0,2052.0,1.79,1.07,5.52,8.38,47.28,59.74,0.24,3975,1868.0,1868.0,1868.0,2.25,1.35,6.00,9.94,62.36,63.18,0.23686
1555100506,5841,1903.0,1903.0,1903.0,1.89,1.13,5.85,8.16,49.71,51.68,0.18,5959,1984.0,1984.0,1984.0,2.17,1.33,6.08,8.16,49.28,50.95,0.18254
1555100507,7888,2047.0,2047.0,2047.0,1.82,0.99,5.02,7.87,56.75,61.44,0.15,8148,2189.0,2189.0,2189.0,1.94,1.17,5.44,7.47,52.56,56.43,0.15249
1555100508,9795,1907.0,1907.0,1907.0,1.91,1.03,5.48,8.87,56.92,60.56,0.13,10116,1968.0,1968.0,1968.0,2.18,1.23,5.68,10.22,58.33,62.55,0.12664
1555100509,11601,1806.0,1806.0,1806.0,2.08,1.07,5.39,10.87,69.47,74.78,0.11,11924,1808.0,1808.0,1808.0,2.27,1.33,5.69,10.76,69.01,79.23,0.10783
1555100510,13518,1917.0,1917.0,1917.0,1.97,0.98,4.85,13.73,60.23,72.74,0.09,13733,1809.0,1809.0,1809.0,2.31,1.26,5.63,16.52,61.24,65.08,0.09398
1555100511,15219,1701.0,1701.0,1701.0,1.98,0.95,5.10,15.45,64.00,65.83,0.08,15767,2034.0,2034.0,2034.0,2.26,1.16,5.72,14.40,63.50,66.45,0.08326
1555100512,16789,1570.0,1570.0,1570.0,2.48,0.99,5.97,49.74,81.53,83.56,0.08,17503,1736.0,1736.0,1736.0,2.32,1.18,5.37,18.78,76.68,84.61,0.07510
1555100513,18753,1964.0,1964.0,1964.0,1.86,1.01,4.98,11.40,61.24,68.09,0.07,19441,1938.0,1938.0,1938.0,2.22,1.17,5.58,13.33,71.50,73.27,0.06853
1555100514,20503,1750.0,1750.0,1750.0,2.26,1.09,5.48,44.60,58.00,59.15,0.06,21159,1718.0,1718.0,1718.0,2.26,1.25,5.31,15.18,59.87,63.05,0.06285
1555100515,21863,1360.0,1360.0,1360.0,2.60,1.23,6.30,47.78,60.23,60.23,0.06,22605,1446.0,1446.0,1446.0,3.13,1.41,7.85,50.36,60.56,65.27,0.06064
1555100516,23065,1202.0,1202.0,1202.0,3.02,1.37,8.26,43.55,71.43,71.70,0.06,23834,1229.0,1229.0,1229.0,3.51,1.71,9.93,43.58,72.88,76.15,0.06079
1555100517,24033,968.0,968.0,968.0,4.10,1.64,10.73,62.69,87.95,99.16,0.06,24876,1042.0,1042.0,1042.0,3.84,1.79,10.51,50.27,85.52,91.82,0.06336
1555100518,25184,1151.0,1151.0,1151.0,3.17,1.90,8.45,17.30,68.29,85.92,0.06,25996,1120.0,1120.0,1120.0,3.86,2.01,9.40,50.10,83.36,113.44,0.06263
1555100519,26259,1075.0,1075.0,1075.0,3.88,2.01,9.78,53.84,84.21,86.18,0.06,27012,1016.0,1016.0,1016.0,3.76,2.21,10.23,37.55,81.20,83.95,0.06322
