timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1554484768,639,639.0,639.0,639.0,16.11,15.10,28.08,47.68,53.38,57.25,0.00,643,643.0,643.0,643.0,16.51,15.20,29.54,45.74,63.80,69.14,0.00000
1554484769,1873,1234.0,1234.0,1234.0,9.58,8.22,17.99,45.94,56.98,59.83,0.22,1844,1201.0,1201.0,1201.0,10.06,8.78,18.89,48.10,52.53,60.46,0.21637
1554484770,4431,2558.0,2558.0,2558.0,4.57,3.34,9.45,17.04,54.66,57.31,0.31,4421,2577.0,2577.0,2577.0,4.73,3.60,9.69,14.66,50.10,55.41,0.31381
1554484771,7246,2815.0,2815.0,2815.0,4.15,2.71,9.33,40.40,60.03,62.72,0.25,7143,2722.0,2722.0,2722.0,4.48,3.09,9.93,40.01,58.72,62.65,0.24833
1554484772,9928,2682.0,2682.0,2682.0,4.32,2.43,9.02,60.39,111.61,113.12,0.20,9699,2556.0,2556.0,2556.0,4.45,2.71,9.17,56.85,109.18,110.23,0.19943
1554484773,13093,3165.0,3165.0,3165.0,3.45,2.35,7.32,17.19,60.78,64.09,0.18,13133,3434.0,3434.0,3434.0,3.77,2.52,7.59,40.14,61.67,65.83,0.17510
1554484774,16585,3492.0,3492.0,3492.0,3.47,2.10,7.45,37.65,89.59,93.59,0.16,16536,3403.0,3403.0,3403.0,3.70,2.34,7.90,28.02,84.48,92.21,0.15685
1554484775,20186,3601.0,3601.0,3601.0,3.52,1.89,8.53,48.73,65.50,70.45,0.14,19807,3271.0,3271.0,3271.0,3.45,2.15,8.31,15.14,61.08,66.29,0.13896
1554484776,23454,3268.0,3268.0,3268.0,3.36,1.83,8.30,22.82,83.36,84.02,0.12,23156,3349.0,3349.0,3349.0,3.85,2.18,8.99,48.30,79.82,84.08,0.12380
1554484777,26049,2595.0,2595.0,2595.0,3.54,1.83,7.91,52.69,64.59,66.36,0.11,25929,2773.0,2773.0,2773.0,3.73,2.14,8.53,47.38,63.54,64.68,0.11118
1554484779,28759,2710.0,2710.0,2710.0,8.90,1.66,7.49,51.45,1500.51,1504.71,0.38,28655,2726.0,2726.0,2726.0,10.34,1.87,8.33,56.85,1495.27,1503.66,0.38022
