timestamp,value
1562008692,25266176
1562008693,25266176
1562008694,25266176
1562008695,25266176
1562008696,25266176
1562008697,25266176
1562008698,25298944
1562008699,25266176
1562008700,25298944
1562008701,25266176
1562008702,25528320
1562008703,25528320
1562008704,25528320
1562008705,25298944
1562008706,25298944
1562008707,25266176
1562008708,25266176
1562008709,25266176
1562008710,25397248
1562008711,25266176
1562008712,25266176
1562008713,25266176
1562008714,25266176
1562008715,25266176
1562008716,25266176
1562008717,25266176
1562008718,25266176
1562008719,25266176
1562008720,25266176
1562008721,25266176
1562008722,25266176
1562008723,25298944
1562008724,25266176
1562008725,25298944
1562008726,25266176
1562008727,25298944
1562008728,25266176
1562008729,25266176
1562008730,25266176
1562008731,25298944
1562008732,25266176
1562008733,25266176
1562008734,25266176
1562008735,25266176
1562008736,25266176
1562008737,25266176
1562008738,25266176
1562008739,25266176
1562008740,25266176
1562008741,25266176
1562008742,25266176
1562008743,25266176
1562008744,25266176
1562008745,25266176
1562008746,25266176
1562008747,25266176
1562008748,25266176
1562008749,25266176
1562008750,25266176
1562008751,25266176
1562008752,25266176
1562008753,25266176
1562008754,25266176
1562008755,25298944
1562008756,25266176
1562008757,25266176
1562008758,25266176
1562008759,25266176
1562008760,25266176
1562008761,25266176
1562008762,25266176
1562008763,25266176
1562008764,25266176
1562008765,25266176
1562008766,25266176
1562008767,25266176
1562008768,25266176
1562008769,25266176
1562008770,25266176
1562008771,25266176
1562008772,25266176
1562008773,25266176
1562008774,25266176
1562008775,25266176
1562008776,25266176
1562008777,25266176
1562008778,25298944
1562008779,25266176
1562008780,25266176
1562008781,25266176
1562008782,25266176
1562008783,25266176
1562008784,25266176
1562008785,25266176
1562008786,25266176
1562008787,25266176
1562008788,25266176
1562008789,25266176
1562008790,25266176
1562008791,25266176
1562008792,25266176
1562008793,25266176
1562008794,25266176
1562008795,25266176
1562008796,25266176
1562008797,25266176
1562008798,25266176
1562008799,25266176
1562008800,25266176
1562008801,25266176
1562008802,25266176
1562008803,25298944
1562008804,25298944
1562008805,25298944
1562008806,25266176
1562008807,25266176
1562008808,25266176
1562008809,25266176
1562008810,25266176
1562008811,25266176
1562008812,25298944
1562008813,25266176
1562008814,25331712
1562008815,25266176
1562008816,25266176
1562008817,25266176
1562008818,25266176
1562008819,25266176
1562008820,25266176
1562008821,25298944
1562008822,25266176
1562008823,25331712
1562008824,25266176
1562008825,25266176
1562008826,25266176
1562008827,25266176
1562008828,25266176
1562008829,25266176
1562008830,25266176
1562008831,25266176
1562008832,25266176
1562008833,25266176
1562008834,25298944
1562008835,25266176
1562008836,25298944
1562008837,25266176
1562008838,25266176
1562008839,25266176
1562008840,25266176
1562008841,25266176
1562008842,25266176
1562008843,25266176
1562008844,25266176
1562008845,25266176
1562008846,25266176
1562008847,25266176
1562008848,25266176
1562008849,25266176
1562008850,25266176
1562008851,25266176
1562008852,25266176
1562008853,25266176
1562008854,25266176
1562008855,25266176
1562008856,25266176
1562008857,25266176
1562008858,25266176
1562008859,25266176
1562008860,25266176
1562008861,25266176
1562008862,25266176
1562008863,25266176
1562008864,25266176
